Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@Larq_qq,"mereka berasa Untouchable

sama sekali tidak perduli dengan rakyat, asal ego mereka jalan terus, faktanya ruu tni dan ruu polri mereka sahkan, sebagai alat kekuasaan dan kontrol, orde baru tapi dibungkus sedemikian rupa",,@Dospemz,,"Replies: 1, Retweets: , Likes: 1",0
@katsurabintaro,theyre a great writer foe making my blood boil while reading thisi remember my friend tellin me to be careful and call her immediately if anythin happens pas demo pengesahan ruu tni back then and i genuinely laughed soalnya mana bisa telponan pas kondisi lg kocar kacir awur”an,,@katsurabintaro,,"Replies: , Retweets: , Likes: ",0
@kokounch_,"apa kebijakannya bg? dana apbn dikuras buat mbg? pertamax dinaikin harganya? suku bunga naik? ribuan motor listrik buat mbg? (terbengkalai) kopdes? RUU tni yg disahkan biar bisa masuk ranah sipil?

rupiah menguat krna rakyat dikorbankan (suku bunga naik, bahan bakar naik)",,@Tiktok162769,,"Replies: 2, Retweets: , Likes: 1",0
@txtdarimaskael5,"demo yang sopan? punten, kamisan tuh kurang sopan?

demo yang sopan? punten, menenda waktu masa perumusan RUU TNI kemarin kurang sopan?

sopan bener ke orang yg terlibat ke kejahatan HAM berat wkwk",,@Katsu_tempe,,"Replies: , Retweets: , Likes: ",0
@agavallaria,"Eh drpd lu sibuk ngurusin RUU TNI ama POLRI, urusin noh RUU PERAMPASAN ASET BUAT KORUPTOR 
@DPR_RI
 . Mewakili sape sih dpr ni, rakyat sipil yg tdk memiliki kuasa trs yg disuruh berkorban",@DPR_RI,,@yaniarsim,"Replies: , Retweets: , Likes: ",0
@tiramisyucake7,"And idk dia tuh kalau masalah ejekan/omongan jelek ttg dia selalu update BUT hal2 jelek kayak bobroknya program dia di lapangan, penolakan program mbg/ruu polri/tni, bencana alam di indo, kok bisa gatau/diem aja?

Emang selective sm informasi ya?",,@tiramisyucake7,,"Replies: , Retweets: , Likes: ",0
@penggemarsayur,"Sahkan UU perampasan aset koruptor
Hukuman mati untuk koruptor
Berikan pengawas untuk mengswasi dan mengawal perusahaan yg melanggar UU ketenagakerjaan
Hapuska RUU TNI dan polri 

Minimal ini, dosa 
@prabowo
 terlalu banyak ke indonesia",@prabowo,@menbrrr,,"Replies: , Retweets: , Likes: ",0
@jenoplushiee,"WKWKWK engga kok kak lebih ke baru kali ini dia mendukung adanya demo karena yg di demo MBG, sebelum sebelumnya dia ga bilang apa apa karena ga ngerti, kayak demo ruu tni waktu itu dia udah aku ceritain tetep bingung  maklum bocah sd",,@xelebrat,,"Replies: 1, Retweets: , Likes: 1",0
@evee_lyyy,Stlh RUU dwifungsi tni & pilisi dicabut?!,,@tertamvan_,,"Replies: , Retweets: , Likes: ",0
@MyfavMeerkat,"Eimmm. Skrg polisi dan tengtara idh diikasi prifilej biar bs ngerecokin kerjaan sipil. Litereli sampe jd petani jagung aja harus dr ijo. Ruu polisu yg disahkan kemaren jg mirip2 kek ruu tni  yg kita protes di agustus 2025 itu. So nope, kita dan mereka ga sama. Hama tetaplah hama.",,@MiraninonLita,,"Replies: 2, Retweets: 2, Likes: 6",0
@buruhidol,Itu media berita udah dari demo RUU TNI udah gw block di X. Tapi di IG gw malah yg diblock mereka duluan ,,@myshawti,,"Replies: , Retweets: , Likes: ",0
@wanderstuffs,gw kira ruu tni itu gajadi di sah kan jir,,,,"Replies: , Retweets: , Likes: ",0
@322redcamel,Itu lah guna nya mereka buat  RUU TNI polri..agar biasa memanfaatkan situasi seperti Skrang,,@Muslim_AntiPKI9,,"Replies: , Retweets: , Likes: ",0
@jijirly,"https://
youtube.com/watch?v=54fBan
pnz60
…
jadi giman prof 
@mohmahfudmd
 katanya RUU TNI tidak segawat yang diributkan? ini ngapain coba ni parjo lbh banyak dari parcok ikut ngamanin demo?",@mohmahfudmd,,,"Replies: , Retweets: 1, Likes: ",0
@alanseptyawan,Sama seperti RUU TNI yang dibahas sembunyi-sembunyi itu ga sih prosesnya? Secepat kilat.,,@abulmuzaffar10,,"Replies: 1, Retweets: , Likes: ",0
@legacymp3,"Btw, sebetulnya gagasan untuk demo menduduki titik2 vital ekonomi-investasi itu sudah muncul lama sekali. Bbrp digagas teman2 anarko, termasuk wkt demo tolak RUU TNI & rangkaian Agustus. Tp dianggap konyol, bahaya, dsb.

Baguslah kl skrg ada bukti bahwa ini bisa banget dilakukan.",,,@stravenues,"Replies: 4, Retweets: 82, Likes: 325",0
@onorus7940,"ya ini yg di sebut "" SINERGITAS JUNTA MILITER"" MULTY FUNGSI TNI , selain "" MENYEROBOT dan MERAMPAS SUPREMASI SIPIL   juga berkolaborasi untuk "" MENG KANGKANGI "" ranah KEAMANANAN  dgn alasan STABILITAS NASIONAL , perilaku ini di legalkan via REVISI RUU TNI / POLRI (NEO ORBA)",,@TheCurut007,,"Replies: , Retweets: , Likes: 2",0
