Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@SupardinWaly,"Situs Web Masih Jadi Sarang Utama Judi Online di Indonesia: Tantangan dan Upaya Pemberantasan [ Selengkapnya di 
https://
facebook.com/share/p/18nRC5
EVFu/
… ]

#StopJudiOnline #DigitalSafety #Komdigi #ProtectOurChildren #LiterasiDigital #IndonesiaTanpaJudi #PlatformResponsibility #SafeInternet",,,,"Replies: , Retweets: , Likes: ",0
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
skwslots.com and 
http://
skwplay.com are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing",@Namecheap,,,"Replies: 1, Retweets: , Likes: ",0
@KompasTV,"Police Raid 2 Locations Suspected of Being Gambling Sites Disguised as Children's Games in Jakarta


https://
kompas.tv/regional/67462
8/polisi-gerebek-2-tempat-yang-diduga-sebagai-lokasi-judi-berkedok-permainan-anak-di-jakarta
…",,,,"Replies: , Retweets: , Likes: 2",0
@telomambu221,"Angka yang mengkhawatirkan sih, sebanyak itu ya ternyata. Capaian komdigi mengenai Pemberantasan Judi Online, langkah yang taktis dan tegas!",,,,"Replies: , Retweets: , Likes: ",1
@lezi_kuwala,"Tugas komdigi:
Memberantas judol 
Memberantas hak bersuara masyarakat ",,,@indepenSumatera,"Replies: , Retweets: , Likes: 1",0
@sospolkw,"Yth pak 
@prabowo
 
Gmn kbrnya pemberantasan judi online pak,kok malah tambah marak aja...
Anda tinggal perintah aja tu Komdigi tuk blokir kok sulit amat.",@prabowo,,,"Replies: , Retweets: 1, Likes: 1",0
@arinta_nada,"Pemberantasan judi online terus diperkuat lewat langkah terukur Komdigi. Bukan hanya memblokir situs, tapi memutus jaringan yang merugikan masyarakat. Pendekatan strategis ini menunjukkan keseriusan negara menjaga ruang digital tetap aman. #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: ",1
@ngecace,"Pak Budi Arie ini ga ada salahnya tapi dicari2 sama pemerintah skrg.
Padahal dirinya adalah pelopor pemberantasan judi online dan koruptor di komdigi..
Dia sengaja menitipkan orang kepeprcayaannya unt membongkar itu semua,lah kok malah mau ditersangkakan",,@DarsAlexandra1,,"Replies: , Retweets: , Likes: ",0
@Monikanihil,Pentingnya Mendukung Pemberantasan Praktik Judi Online. #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas,,,,"Replies: , Retweets: 1, Likes: ",0
@BadangSetiawan,"Dukung Pemberantasan Praktik Judi Online
#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: ",0
@Fatimah81819162,Astagfirullahaladzim...400.000 Pelajar di Bawah Umur 20 th Terpapar Judi Online bukan jumlah sedikit. Presiden Prabowo tlh perintahkan pemberantasan Judol sampai ke akar2nya. Kunci kebijakan ada di Komdigi. Qta brharap  Budi Arie bertgjwb atas maraknya Judol,,,,"Replies: , Retweets: 1, Likes: 2",0
@Vhienaiueo,"Pentingnya Mendukung Pemberantasan Praktik Judi Online

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: 1, Retweets: , Likes: ",0
@3Humas,"Judi online selalu bikin bangkrut karena sistem algoritmanya telah diatur agar bandar selalu menang, sementara pemain dijebak oleh kemenangan semu di awal untuk memicu kecanduan psikologis. Akibat efek manipulasi otak yang terus merasa ""hampir menang"", pecandu akan terjebak dalam",,,,"Replies: , Retweets: , Likes: 1",0
@SuraaaD1979,"Lu lebih percaya Komdigi yang ngasih alasan belibet dalam pemberantasan judi online, atau STEAM yang literally menang di pengadilan melawan Rotschild?",,@pak_erte92,,"Replies: 1, Retweets: , Likes: 2",0
