Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@TajukNasional,Wamen Ossy Dermawan Minta Jajaran BPN Kaltim Jadi Solusi di Tengah Masifnya Pembangunan IKN,,,,"Replies: , Retweets: , Likes: ",1
@KantahKotaMedan,"Repost 
@kementerian
.atrbpn
Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN). Hal tersebut...",@kementerian,,,"Replies: , Retweets: , Likes: ",1
@AlUdhari,"Kopdes lebih parah lagi hasilnya bagus bisa menangani semua kebijakan yang pernah ada, tetapi pembangunan cepat dan tuntas itu aneh. Seperti IKN bangun lama tapi kualitasnya pasti terjaga, kopdes ngebut parah bahan dan kualitas bisa dipertanyakan",,@AlUdhari,,"Replies: 1, Retweets: , Likes: ",0
@kanwilbpnkaltim,"Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN)",,,,"Replies: , Retweets: , Likes: ",1
@kantahkabsragen,"Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi IKN.
#Repost",,,,"Replies: , Retweets: , Likes: ",1
@atrbpnslawi,"Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN).",,,,"Replies: , Retweets: , Likes: ",1
@kantahjember,"#repost Halo #SobATRBPN, Wamen ATR/Waka BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan & investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN). Hal tersebut disampaikan saat memberikan arahan kepada",,,,"Replies: 1, Retweets: , Likes: ",1
@kantahkabtorut,"#repost 
@kem_atrbpn
 
Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN). Hal tersebut disampaikan",@kem_atrbpn,,,"Replies: , Retweets: , Likes: ",1
@kantahsintang,"#Repost 
@kementerian
.atrbpn
Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara IKN",@kementerian,,,"Replies: , Retweets: , Likes: ",1
@atrbpnpesawaran,"Repost 
@kementerian
.atrbpn Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN).",@kementerian,,,"Replies: , Retweets: , Likes: 1",1
@KantahBPP,"Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN). 
 #repost",,,,"Replies: , Retweets: , Likes: ",1
@bpnnunukan,"#Repost 
@kementerian
.atrbpn

Halo #SobATRBPN, Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan, menegaskan pentingnya peran jajaran BPN di Kalimantan Timur dalam mendukung pembangunan dan investasi di wilayah yang kini menjadi lokasi Ibu Kota Nusantara (IKN),",@kementerian,,,"Replies: , Retweets: , Likes: 1",1
@anskhyrnns,"Sebenernya kan concernnya adalah kenapa ibukotanya ga jadi pindah ke IKN, itu pembangunan jadi sia sia dong dan gaada pertanggungjawabannya yah buzzer. Btw itu ada duit pajak akutuhhh ",,,@zy_zy_lestary,"Replies: 1, Retweets: , Likes: ",0
@elmirakidnew,"It's a matter of priorities, really. Is IKN really that urgent that it has to be built during President Jokowi's term, which only has a year left? Back then, the Hambalang athletes' dormitory construction was temporarily halted due to a KPK investigation, and after that, the",,@dimarsasongko98,,"Replies: 1, Retweets: , Likes: 1",0
