Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement
@Meta80ki,"POLISI UNGKAP DUGAAN JARINGAN JUDI ONLINE, PRIA DI KUBU RAYA DIAMANKAN
KUBU RAYA – Aparat kepolisian mengungkap dugaan aktivitas perjudian online yang beroperasi melalui sejumlah situs dan mengamankan seorang pria berinisial AYA (25) di wilayah Sungai Kakap, Kabupaten Kubu Raya,",,,,"Replies: , Retweets: , Likes: 1"
@SupardinWaly,"Situs Web Masih Jadi Sarang Utama Judi Online di Indonesia: Tantangan dan Upaya Pemberantasan [ Selengkapnya di 
https://
facebook.com/share/p/18nRC5
EVFu/
… ]

#StopJudiOnline #DigitalSafety #Komdigi #ProtectOurChildren #LiterasiDigital #IndonesiaTanpaJudi #PlatformResponsibility #SafeInternet",,,,"Replies: , Retweets: , Likes: "
@MyInfoID,"Sistem SAMAN Siap Beroperasi Penuh Oktober 2025, Komdigi Perkuat Pemberantasan Judi Online",,,,"Replies: , Retweets: , Likes: "
@Moonstraw78,"Ada tantangan pemberantasan judi online setidaknya mencakup tiga faktor, yakni teknologi, prosedur, dan perilaku masyarakat.
#komdigibasmijudol
#komdigi",,,,"Replies: , Retweets: , Likes: "
@PesonaHatii,"Pentingnya Mendukung Pemberantasan Praktik Judi Online
#Komdigi  #IndonesiaEmas
 ________________
Golkar  | Budi Arie",,,,"Replies: , Retweets: , Likes: "
@ANTI_ILEGAL," OFFICIAL ABUSE REPORT | 
@Namecheap

Domains 
http://
skwslots.com and 
http://
skwplay.com are confirmed to be operating as illegal online gambling platforms actively targeting Indonesian citizens.
 Legal Violations:
▸ Article 27(2) of UU ITE No.1/2024 — distributing",@Namecheap,,,"Replies: 1, Retweets: , Likes: "
@KompasTV,"Police Raid 2 Locations Suspected of Being Gambling Sites Disguised as Children's Games in Jakarta


https://
kompas.tv/regional/67462
8/polisi-gerebek-2-tempat-yang-diduga-sebagai-lokasi-judi-berkedok-permainan-anak-di-jakarta
…",,,,"Replies: , Retweets: , Likes: 2"
@telomambu221,"Angka yang mengkhawatirkan sih, sebanyak itu ya ternyata. Capaian komdigi mengenai Pemberantasan Judi Online, langkah yang taktis dan tegas!",,,,"Replies: , Retweets: , Likes: "
@hokkysitungkir,Kemenkomdigi menggelar acara Anugerah Jurnalistik Komdigi (AJK) 2024 untuk memberikan apresiasi dan penghargaan kepada insan pers dan jurnalis yang berperan aktif dalam pemberitaan mendalam dan penuh dedikasi dalam pemberantasan judi online.,,,,"Replies: 2, Retweets: , Likes: "
@hypevox_id,"Komdigi terus meningkatkan upaya pemberantasan judi online yang semakin meresahkan masyarakat, bahkan telah membentuk tim khusus dan menggunakan teknologi terkini untuk menangani peredaran konten negatif, termasuk judi online.


https://
nawabineka.com/komdigi-intens
ifkan-perang-melawan-judi-online-dengan-teknologi-ai-dan-tim-khusus/
…",,,,"Replies: , Retweets: , Likes: "
@paseh_polsek,"*Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi*

Jakarta – Wakil Ketua Komisi III DPR Ahmad Sahroni menyampaikan apresiasi kepada Polri atas penetapan 11 orang sebagai tersangka dalam kasus judi online, termasuk sejumlah pegawai Kementerian Komunikasi",,,,"Replies: , Retweets: , Likes: 1"
@pemkotbekasi," *[SHORT VIDEO]*  

*JUDUL:*
JUDI ONLINE BIKIN BANGKRUT

*CAPTION:*
Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring.",,,,"Replies: 2, Retweets: , Likes: 2"
@lezi_kuwala,"Tugas komdigi:
Memberantas judol 
Memberantas hak bersuara masyarakat ",,,@indepenSumatera,"Replies: , Retweets: , Likes: 1"
@KlikSoloNews,Komdigi dan BNN Perkuat Kolaborasi Lawan Peredaran Narkotika di Ruang Digital,,,,"Replies: , Retweets: , Likes: "
@MarisaHali96792,Upaya pemerintah dalam pemberantasan judi online,,,,"Replies: , Retweets: , Likes: "
@sospolkw,"Yth pak 
@prabowo
 
Gmn kbrnya pemberantasan judi online pak,kok malah tambah marak aja...
Anda tinggal perintah aja tu Komdigi tuk blokir kok sulit amat.",@prabowo,,,"Replies: , Retweets: 1, Likes: 1"
@Nutri_sar1,"Komdigi mengungkapkan trus menabuh genderang perang terhadap pemberantasan praktik judi online 
Komdigi kerahkan 113 orang dan gunakan teknologi AI untuk membasm1 judol
#PrabowoMendahulukanRakyat
Dilan Vanessa Deep Seek Ojol Pagiii 
Ubur #2egin4Cantik #TimnasDayp",,,,"Replies: 3, Retweets: 6, Likes: 8"
